
*** Students without assignment ***
ID,Last Name,First Name,Email,Graduation Quarter,Graduation Year,Course Applied,Needs assignment?
68134991,Soon,Ten,,Spring/Summer,2033,CS 0,no
55426285,Skaa,Hammond,Hammond.Skaa@cwu.edu,Spring/Summer,2023,CS 492,YES
55426286,Awakener,Vasher,Vasher.Awakener@cwu.edu,Spring/Summer,2024,CS 392,no
55426297,Venture,Zane,Zane.Venture@cwu.edu,Spring/Summer,2023,CS 492,YES
55426298,Idrian,Siri,idrians@cwu.edu,Spring/Summer,2023,CS 492,YES
55426295,Fuzz,Terr,Terr.Fuzz@cwu.edu,Spring/Summer,2023,CS 492,YES
55426316,Scadrial,Herr,Scadrialh@cwu.edu,Spring/Summer,2023,CS 492,YES
55426317,Seur,Ore,Ore.Seur@cwu.edu,Winter,2024,CS 492,no
68134980,Yomen,Aradan,Aradan.Yomen@cwu.edu,Spring/Summer,2023,CS 492,YES
55426288,Cett,Ashweather,cetta@cwu.edu,Spring/Summer,2024,CS 392,no
55426311,Cett,Ashweather,cetta@cwu.edu,Spring/Summer,2024,CS 392,no
68134976,Artifabrian,Navani,artifabriann@cwu.edu,Spring/Summer,2023,CS 492,YES
68134977,fannahn-im,Raboniel,Raboniel fannahn-im@cwu.edu,Spring/Summer,2024,CS 392,no
55426318,Ladrian,Edgard,Edgard.Ladrian@cwu.edu,Winter,2024,CS 392,YES
68134975,Stormfather,Kalak,Kalak.Stormfather@cwu.edu,Spring/Summer,2023,CS 492,YES
55426291,Ladrian,Waxillium,Waxillium.Ladrian@cwu.edu,Fall,2023,CS 492,YES
55426292,Elin,Kelek,elinke@cwu.edu,Spring/Summer,2024,CS 492,no
55426307,Soon,Ten,TenSoon@cwu.edu,Winter,2024,CS 392,YES
55426308,Shu-Dereth,Hrathen,Hrathen.ShuDereth@cwu.edu,Spring/Summer,2023,CS 492,YES
68134984,Terrisman,Renoux,renoux.terrisman@cwu.edu,Spring/Summer,2023,CS 492,YES
68134988,Ladon,Raoden,Iadonr@cwu.edu,Spring/Summer,2023,CS 492,YES
68134989,Paar,Kan,Kan.Paar@cwu.edu,Spring/Summer,2023,CS 492,YES
55426281,Kharbranth,Taravangian,Taravangian.Kharbranth@cwu.edu,Spring/Summer,2024,CS 392,no
55426282,Urteau,Quellion,Quellion.Urteau@cwu.edu,Spring/Summer,2023,CS 492,YES
68134994,Reshi,Lift,Lift.Reshi@cwu.edu,Spring/Summer,2023,CS 492,YES
68134995,Aqasix,Azish,aqasixa@cwu.edu,Spring/Summer,2023,CS 492,YES
68134997,Cladent,Clubs,clubsC@cwu.edu,Spring/Summer,2023,CS 492,YES
55426312,Numuhukumakiaki'aialunamor,Rock,numuhukur@cwu.edu,Spring/Summer,2023,CS 492,YES
55426313,Urteau,Quellion,Quellion.Urteau@cwu.edu,Spring/Summer,2023,CS 492,YES
68135001,Blackthorn,Gavilar,blackthorn@cwu.edu,Spring/Summer,2023,CS 492,YES
68135005,Venture,Zane,Zane.Venture@cwu.edu,Spring/Summer,2023,CS 492,YES
68135006,Diggens,Tress,Tress.Diggens@cwu.edu,Spring/Summer,2023,CS 492,YES
68135007,Dragonsteel,Cephandrius,dragonsteelc@cwu.edu,Spring/Summer,2023,CS 492,YES
